Release date,Time,Actual,Forecast,Previous
"Dec 23, 2025 (Dec)",8:00,89.1,91.7,92.9
"Nov 25, 2025 (Nov)",8:00,88.7,93.5,95.5
"Oct 28, 2025 (Oct)",7:00,94.6,93.4,95.6
"Sep 30, 2025 (Sep)",7:00,94.2,96,97.8
"Aug 26, 2025 (Aug)",7:00,97.4,96.4,98.7
"Jul 29, 2025 (Jul)",7:00,97.2,95.9,95.2
"Jun 24, 2025 (Jun)",7:00,93,99.4,98.4
"May 27, 2025 (May)",7:00,98,87.1,85.7
"Apr 29, 2025 (Apr)",7:00,86,87.7,93.9
"Mar 25, 2025 (Mar)",7:00,92.9,94.2,100.1
"Feb 25, 2025 (Feb)",8:00,98.3,102.7,105.3
"Jan 28, 2025 (Jan)",8:00,104.1,105.7,109.5
"Dec 23, 2024 (Dec)",8:00,104.7,112.9,112.8
"Nov 26, 2024 (Nov)",8:00,111.7,111.8,109.6
"Oct 29, 2024 (Oct)",7:00,108.7,99.5,99.2
"Sep 24, 2024 (Sep)",7:00,98.7,103.9,105.6
"Aug 27, 2024 (Aug)",7:00,103.3,100.9,101.9
"Jul 30, 2024 (Jul)",7:00,100.3,99.7,97.8
"Jun 25, 2024 (Jun)",7:00,100.4,100,101.3
"May 28, 2024 (May)",7:00,102,96,97.5
"Apr 30, 2024 (Apr)",7:00,97,104,103.1
"Mar 26, 2024 (Mar)",7:00,104.7,106.9,104.8
"Feb 27, 2024 (Feb)",8:00,106.7,114.8,110.9
"Jan 30, 2024 (Jan)",8:00,114.8,114.2,108
"Dec 20, 2023 (Dec)",8:00,110.7,103.8,101
"Nov 28, 2023 (Nov)",8:00,102,101,99.1
"Oct 31, 2023 (Oct)",7:00,102.6,100,104.3
"Sep 26, 2023 (Sep)",7:00,103,105.5,108.7
"Aug 29, 2023 (Aug)",7:00,106.1,116,114
"Jul 25, 2023 (Jul)",7:00,117,111.8,110.1
"Jun 27, 2023 (Jun)",7:00,109.7,104,102.5
"May 30, 2023 (May)",7:00,102.3,99,103.7
"Apr 25, 2023 (Apr)",7:00,101.3,104,104
"Mar 28, 2023 (Mar)",7:00,104.2,101,103.4
"Feb 28, 2023 (Feb)",8:00,102.9,108.5,106
"Jan 31, 2023 (Jan)",8:00,107.1,109,109
"Dec 21, 2022 (Dec)",8:00,108.3,101,101.4
"Nov 29, 2022 (Nov)",8:00,100.2,100,102.2
"Oct 25, 2022 (Oct)",7:00,102.5,106.5,107.8
"Sep 27, 2022 (Sep)",7:00,108,104.5,103.6
"Aug 30, 2022 (Aug)",7:00,103.2,97.9,95.3
"Jul 26, 2022 (Jul)",7:00,95.7,97.2,98.4
"Jun 28, 2022 (Jun)",7:00,98.7,100.4,103.2
"May 31, 2022 (May)",7:00,106.4,103.9,108.6
"Apr 26, 2022 (Apr)",7:00,107.3,108,107.6
"Mar 29, 2022 (Mar)",7:00,107.2,107,105.7
"Feb 22, 2022 (Feb)",8:00,110.5,110,111.1
"Jan 25, 2022 (Jan)",8:00,113.8,111.8,115.2
